Japan,Asia (East),Philippines,Africa (South),Africa (North),Africa (East 1),Africa (East 2),Caribbean,Africa (West),Africa (Central),Middle East,United Kingdom,Ireland,Finland,Scandinavia,Europe (South West),Italy,Europe (South East),Europe (Central),Europe (North East),Pakistan,Sri Lanka,Bangladesh,South America,Ashkenazi,India,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,STU,TSI,YRI
Japan,0,0.0101404365481757,0.0209191325739283,0.164971767982791,0.0988313852700962,0.105573207255847,0.142277660181061,0.150480174624611,0.166802584346431,0.166484936525786,0.0943208949714606,0.104761391007536,0.105540415053779,0.0985045148046513,0.105424877751909,0.103934248164208,0.10441082048223,0.10272800880002,0.103741693488648,0.102321713740153,0.0741143202379367,0.0669266385770661,0.055732332212605,0.0648083762031701,0.102473652602526,0.0743543401583789,0.149398781744698,0.132321401656262,0.0579418714980362,0.0171556947322941,0.106480707348937,0.0069556621019461,0.00888355907373502,0.0757944803012025,0.17218837010975,0.0986074322258694,0.106492031815417,0.074495946341327,0.168442682414208,0.106190658677,0.0703698411706585,0.000326512200074497,0.0141182132079961,0.16244447799673,0.171733378324462,0.0664507470473157,0.07995015948802,0.0721972936911704,0.0841682022023189,0.0689628282908969,0.106217280514773,0.171399971703741
Asia (East),0.0101404365481757,0,0.00999284776230554,0.164887971909247,0.101292131580384,0.108393263431422,0.143816289164274,0.151317280115632,0.166419810453216,0.166274295420665,0.0964859103080545,0.106117077457395,0.106848359553701,0.100562017952845,0.107201150410846,0.105836898234886,0.10622024339005,0.104612453794387,0.10561850418946,0.104258431639823,0.076167421191897,0.0684313562312829,0.0561737895508896,0.0683276102154499,0.103803177444014,0.0763027699332271,0.149836918535334,0.133038263055483,0.0581040509537299,0.00336752439248331,0.107923594208094,0.00288024865969904,0.000897357699899513,0.0785023189826558,0.171342883834015,0.100555480281961,0.107881500757549,0.0755881141157316,0.167899672926878,0.107688046270447,0.0712952360849535,0.0106583861665584,0.00210128308125302,0.162266656564439,0.171005323816755,0.069529142874042,0.0828437495621151,0.073427532940086,0.0865645302333493,0.0699032252616336,0.10756560720067,0.170601382597886
Philippines,0.0209191325739283,0.00999284776230554,0,0.161382721690719,0.0961898828436745,0.102772214885605,0.139028354071816,0.147121166737774,0.163209691042259,0.162773476002818,0.0921336067842896,0.102516744630211,0.103258379934906,0.0974117329347865,0.103197705163023,0.101505351885116,0.101847841758996,0.100466902112479,0.101610064616395,0.100448215682509,0.072072210314229,0.0643943261563564,0.0536894375645132,0.0676039339189923,0.100267355028708,0.0720838008100739,0.145604758815984,0.128853409417878,0.0557388942069378,0.0112201638705804,0.103996292605297,0.015297095623561,0.0119721149255408,0.0763932220685951,0.168113551970686,0.0976040935147593,0.104012664190857,0.071798600278275,0.164675912991234,0.103560730683936,0.0675312072562987,0.021410592295074,0.0101194226273257,0.158630683343248,0.167723700737379,0.0699491542813877,0.0862223554942987,0.0697237138505605,0.0832750812792099,0.0661372375268646,0.10354438055761,0.167422932548697
Africa (South),0.164971767982791,0.164887971909247,0.161382721690719,0,0.0932314560030196,0.0505103736056,0.00499745165628011,0.00427465769337439,0.00435595740260331,0.00172183383847825,0.123904175872016,0.138642250823578,0.139948587799639,0.142008013898027,0.140613890781256,0.132011438581071,0.133575738078525,0.136193030495439,0.138545781366029,0.139628725141162,0.121289365897665,0.122700679751249,0.12209845739184,0.122430232533019,0.130017638615258,0.121341037396765,0.00553131345459723,0.00923683225413415,0.124685794617813,0.165250612362073,0.139914463035556,0.164259010498754,0.165375183595088,0.115111882548006,0.00547070833654483,0.142219190519823,0.140422438144045,0.126941721842038,0.00931332667543871,0.134621575262147,0.125771582609354,0.165659865018727,0.162106474598475,0.00351520274592696,0.00736429158124322,0.133236827318328,0.166538048346809,0.123809949833731,0.101509079398047,0.125053715005673,0.135658834045949,0.00502985877306786
Africa (North),0.0988313852700962,0.101292131580384,0.0961898828436745,0.0932314560030196,0,0.017559604252815,0.0669490791689869,0.0778555815109968,0.0951043212731613,0.0937028080742863,0.0102589598205133,0.0183312945382743,0.0199485977866667,0.0252398494127942,0.0197212209412065,0.0112802972041081,0.0102879158568337,0.0143264284362757,0.0179313217376775,0.0203098714944073,0.0244347123720115,0.0377970269808666,0.0356406156559546,0.0324299627652331,0.0122482836533453,0.0173090198618747,0.0724639536839655,0.05537790084827,0.038729615540981,0.0996474761426089,0.0179229235781016,0.0972110484296655,0.0991820769485388,0.0184706850539735,0.0971687280837866,0.0257744836651363,0.0183262186115435,0.0355039723636958,0.0926114797198284,0.0121349572563285,0.0387922835038758,0.0989593687540453,0.0957929847193379,0.087310102836864,0.0965614251064035,0.0401689034648644,0.087257607061363,0.0303114942855631,0.010175024443009,0.0389824029647934,0.0115452970487788,0.0963731764755093
Africa (East 1),0.105573207255847,0.108393263431422,0.102772214885605,0.0505103736056,0.017559604252815,0,0.0279139795394926,0.0405581055522254,0.052393289563658,0.0509007500659239,0.0364978590281161,0.0513891823986932,0.0529584119549979,0.0547458464486374,0.0519652722867886,0.0433107417189963,0.0419972793760926,0.0461119807027865,0.0501238226849743,0.0514861612453076,0.0441817291368066,0.0518452539665433,0.0502342777163833,0.0509514904057871,0.042033521490255,0.040840197132652,0.0371593461272433,0.0265064336794544,0.0522612872088372,0.105262660147199,0.0492595206225903,0.103488967375086,0.105120527632658,0.0386793302955639,0.0544752660534112,0.0547100719381939,0.0496446476886248,0.0514535724648911,0.0513666567382948,0.0434697829988878,0.0525763892981701,0.105100966815546,0.10167767845171,0.0439603959416433,0.054267080843033,0.0582531019061648,0.0999125749090549,0.0472672131432297,0.0286436681225538,0.0523570935463654,0.0428641545595827,0.0536797856798453
Africa (East 2),0.142277660181061,0.143816289164274,0.139028354071816,0.00499745165628011,0.0669490791689869,0.0279139795394926,0,0.00451288042973824,0.00741233465333849,0.00561719309163375,0.0962696987321092,0.112123506171849,0.11348742586212,0.113431595146592,0.112716510495146,0.10433775818569,0.10494853387102,0.107845488561913,0.110923981135986,0.111565940323139,0.0950015798722883,0.0974731515202114,0.0961970734179159,0.0975805703371548,0.103362670543205,0.094449238830578,0.00478116670689244,0.00478070333007111,0.0981702980660342,0.141758702864806,0.110527671327583,0.140564716564146,0.141836179208922,0.0883069337549082,0.0093588276154652,0.113349422308651,0.110931588632692,0.100042165473035,0.01055732178363,0.105172514062914,0.0992248959356379,0.142067125410566,0.138461145173862,0.0032985068826177,0.0104243552627417,0.106435888286568,0.142058568260885,0.0966139916918784,0.0755159043194107,0.0985810084384687,0.105938905885772,0.00869954952525349
Caribbean,0.150480174624611,0.151317280115632,0.147121166737774,0.00427465769337439,0.0778555815109968,0.0405581055522254,0.00451288042973824,0,0.00113648137181523,0.00228564532329378,0.107273025784235,0.12089451916475,0.122164862019411,0.123018023520132,0.121974939544513,0.114176969733534,0.115457844636851,0.117852931742225,0.120277816862327,0.121061691331774,0.105503277181149,0.107903230156118,0.106790859528742,0.106697556915008,0.113337036556605,0.104810096747054,0.000482683268496606,0.00295277398141044,0.108837836661602,0.150635697289844,0.120510829068376,0.149537882722969,0.150770699481937,0.0979816111690674,0.00281916734669046,0.123138943150696,0.121004020632313,0.110657166670679,0.00563652658619387,0.115659018806134,0.109935359017227,0.150934220679798,0.147545432191995,0.00615942921477004,0.00417724611081232,0.116102958962043,0.150077188895973,0.107365068729001,0.0847822804837758,0.109243887311949,0.116783820670724,0.00215968948774168
Africa (West),0.166802584346431,0.166419810453216,0.163209691042259,0.00435595740260331,0.0951043212731613,0.052393289563658,0.00741233465333849,0.00113648137181523,0,0.00192919798823072,0.126499257873565,0.14060315617406,0.141912078004281,0.144435687427962,0.142998978573865,0.134322714773576,0.136017762326652,0.138668096061089,0.140900030546597,0.142073222332568,0.124065166436077,0.125395437796353,0.124844445838824,0.124783108366691,0.132008040294692,0.124138284750222,0.00227490659508563,0.00757306195624159,0.127273358934961,0.167296598840579,0.142319412431392,0.166275504438213,0.167441842271886,0.117391150800059,0.00149160261957634,0.144679519015868,0.142881128223114,0.129503227624095,0.00495162912412612,0.137008356804512,0.128298596852071,0.167660865835877,0.164222201566155,0.00690254389634593,0.00279662085639393,0.135466725568582,0.168346645640683,0.12639838637759,0.103538273656807,0.127530783030561,0.138095528605191,0.000614911741211714
Africa (Central),0.166484936525786,0.166274295420665,0.162773476002818,0.00172183383847825,0.0937028080742863,0.0509007500659239,0.00561719309163375,0.00228564532329378,0.00192919798823072,0,0.124815112520113,0.139955698637412,0.14126584123085,0.143385395846184,0.14188532103744,0.133116508986258,0.134730868556742,0.137368782981986,0.139745979457626,0.140850368001567,0.121844105624909,0.123165724832844,0.122584238139551,0.122988988464933,0.131280713167005,0.121930413498315,0.00358138794905623,0.00796531885319848,0.125534514722017,0.166815159587046,0.141363162724164,0.165821685932154,0.167019126207793,0.115978182419522,0.00275921897377009,0.143677149794821,0.141914919450813,0.127851908615363,0.00717877096182802,0.136004799416236,0.126603609796115,0.167216520770185,0.163647051480391,0.00447434612689573,0.0052438533046026,0.134399743212219,0.168306719228336,0.124676156372466,0.102185673621831,0.125874353908096,0.137092662221715,0.00243542625314109
