Population,N,BBJ,FinnGen,height-peru,arabic,t2d_africa,GERA,PAGE,BrCa,PrCa,CAD,body-fat,covid,eczema,epilepsy,urate
Africa (West),735,0,0,0,0,0.3001302,0.0185074,0.2768552,0.0029312,0.0033748,0.0217341,0.0072541,0.0398715,0.0020325,0.0065084,0.0216853
Africa (South),449,0,0,0,0,0.6998698,0.0086426,0.0588146,0.0020113,0.0003097,0.0121598,0.0025566,0.0121993,0.0045565,0.0028022,0.0348042
Africa (East),276,0,0,0,0.1298849,0,0,0,0,0,0.0011915,0,0.0033896,0,0,0.0185949
Africa (North),268,0,0,0,0.2204698,0,0,0.0050443,0,0,0,0,0.0012988,0,0,0
Middle East,523,0,0,0,0.6460994,0,0,0,0,0,0,0.0019786,0,0,0,0.0133897
Ashkenazi,1975,0,0,0,0,0,0.0439683,0.0048773,0.0017742,0.018081,0.0042193,0.0078,0.0037749,0.0056961,0.0175426,0
Italy,345,0,0,0,0,0,0.045999,0,0.0307153,0.0122973,0.0971954,0.0551609,0,0,0.0339252,0.0075093
Europe (East),667,0,0,0,0,0,0.1045936,0.0002988,0.0686954,0.1131345,0.1048054,0.1135053,0.131536,0.1166847,0.1394387,0.1080705
Finland,143,0,1,0,0,0,0.0241535,0.0071353,0.0970558,0.1303664,0.0593447,0.0875607,0.1482872,0.1281641,0.0650006,0.0196629
Europe (North West),4416,0,0,0,0,0,0.5985569,0.0555315,0.6849328,0.6451447,0.5180048,0.5979024,0.6139545,0.7088602,0.6795689,0.4598888
Europe (South West),603,0,0,0,0,0,0.0345078,0.1584499,0.0470417,0.0451934,0,0,0,0.0213293,0.0213679,0
South America,473,0,0,1,0,0,0.0457927,0.2539465,0.014815,0.0081302,0.0155416,0.0036436,0.0175459,0.0046331,0.0004969,0
Sri Lanka,372,0,0,0,0.0035459,0,0.0040201,0,0.0344592,0.0167664,0.0466295,0.0420551,0.0184944,0,0,0.0187867
Pakistan,400,0,0,0,0,0,0,0.0109944,0,0,0.0701454,0.0403172,0,0,0,0
Bangladesh,223,0,0,0,0,0,0,0.0164256,0,0,0,0,0,0,0,0
Asia (East),961,0,0,0,0,0,0.0349893,0.0122494,0.0118165,0.0069096,0.0246794,0.0123778,0.0011716,0.0011848,0.030844,0
Japan,240,1,0,0,0,0,0.0216572,0.0936523,0.0037516,0.000292,0.0243491,0.0278877,0.0067175,0.006686,0.0025044,0.2976076
Philippines,295,0,0,0,0,0,0.0146114,0.045725,0,0,0,0,0.0017586,0.0001729,0,0
