Population,N,BBJ,FinnGen,height-peru,arabic,t2d_africa,GERA,PAGE,BrCa,PrCa,CAD,body-fat,covid,eczema,epilepsy,urate
Africa (West),735,0,0,0,0,0.3134175,0.017615,0.2757192,0,0,0.0324947,0.0087,0.0388036,0,0.004116,0.012845
Africa (South),449,0,0,0,0,0.6865825,0.0103106,0.0589484,0.0043336,0.0042502,0,0.0006559,0.0128312,0.0072217,0,0.0437861
Africa (East),276,0,0,0,0.1210962,0,0,0.0014716,0,0,0.0023726,0,0.0035512,0,0,0.0168399
Africa (North),268,0,0,0,0.2376711,0,0,0,0,0,0,0,0.0033794,0,0.0214207,0
Middle East,523,0,0,0,0.6366616,0,0,0,0,0,0.0609825,0.003863,0,0,0.0093586,0.0117031
Ashkenazi,1975,0,0,0,0,0,0.0403354,0.0006726,0,0.0201024,0.0056419,0.0068897,0.0065242,0.0048926,0.0198652,0
Italy,345,0,0,0,0,0,0.0380437,0,0.0647352,0.0066336,0,0.0846165,0,0,0,0.0361212
Europe (East),667,0,0,0,0,0,0.1352706,0.0224959,0.0129085,0.1218822,0.138167,0.0904454,0.1228008,0.1260348,0.1273162,0.0885118
Finland,143,0,0.9991573,0,0,0,0.0239423,0,0.0919812,0.1307489,0.0692471,0.0877644,0.1363196,0.148808,0.0303817,0.0372008
Europe (North West),4416,0,0,0,0,0,0.5704057,0.0414163,0.6754907,0.6389919,0.5446624,0.6033163,0.622061,0.6788127,0.6552031,0.4401619
Europe (South West),603,0,0,0,0,0,0.0443438,0.1676309,0.0849861,0.0453857,0,0,0,0.0245685,0.0985343,0
South America,473,0,0,1,0,0,0.0447674,0.2557957,0.014079,0.0067123,0.0146066,0.0045644,0.0157909,0.002648,7.04e-05,0
Sri Lanka,372,0,0,0,0.0045712,0,0.0031359,0.0244631,0.0362243,0,0.0836193,0.0702067,0.0014114,0,0,0.0154965
Pakistan,400,0,0,0,0,0,0,0,0,0,0,0,0.0245041,0,0,0
Bangladesh,223,0,0,0,0,0,0,0,0,0.0191848,0,0,0,0,0,0
Asia (East),961,0,0,0,0,0,0.0350575,0.0312563,0.0113439,0.006108,0.0215756,0.0114026,0,0.0011742,0.0176798,0
Japan,240,1,0,0,0,0,0.0206723,0.0833839,0.0039175,0,0.0266302,0.027575,0.007052,0.0030586,0.0109751,0.2973338
Philippines,295,0,0.0008427,0,0,0,0.0160996,0.0367462,0,0,0,0,0.0049706,0.0027809,0.0050789,0
