Population,N,BBJ,FinnGen,height-peru,arabic,t2d_africa,GERA,PAGE,BrCa,PrCa,CAD,body-fat,covid,eczema,epilepsy,urate
Africa (West),735,0.0005136,0,0,0,0.3481828,0.0208947,0.2637751,0.0020173,0.0020954,0.024083,0.0047828,0.0400834,0.0042459,0.0070568,0.0322164
Africa (South),449,0.000443,0,0,0,0.6502341,0.0051712,0.0688109,0.0020517,0.001106,0.0108356,0.0053513,0.0125217,0.0013833,0.0013813,0.0343623
Africa (East),276,0,0,0,0.1297599,0.0015831,0,0.0029801,0,0,0.000111,0.0008106,0.0023147,0,0,0.0090597
Africa (North),268,0,0,0,0.2248562,0,0.0010427,0.0182467,0,0,0,0,0,0,0,0
Middle East,523,0,0,0,0.6084902,0,0.0097123,0,0,0.0018011,0.029662,0.0109266,0.0028412,0,0.0078198,0.0095242
Ashkenazi,1975,0,0,0,0.0153136,0,0.0505378,0.0044377,0.0051323,0.0245493,0.0134994,0.0164506,0.0064784,0.0094888,0.0239518,0.0081139
Italy,345,0,0,0,0,0,0.0509498,0.0238835,0.0274695,0.0329698,0.0298249,0.037594,0.0084101,0.0335259,0.0564873,0.024634
Europe (East),667,0,0.0759244,0,0,0,0.0794429,0.0050214,0.085016,0.0963889,0.1059065,0.1074363,0.1153742,0.1028013,0.0968406,0.0822663
Finland,143,0,0.8359475,0,0,0,0.0165849,0.0057219,0.088801,0.1205787,0.0611601,0.0750537,0.1295846,0.0996449,0.0530333,0.0220281
Europe (North West),4416,0,0.0739582,0,0,0,0.5783433,0.0948308,0.6773825,0.6366991,0.5171813,0.5722528,0.6076935,0.6944273,0.6637269,0.4376797
Europe (South West),603,0,0,0,0,0,0.0678746,0.089544,0.0600449,0.0584964,0.0326026,0.0426565,0.0230933,0.0434095,0.052399,0.0360376
South America,473,0.001514,0.0063266,0.9823048,0,0,0.0458259,0.2489764,0.0110105,0.0071974,0.014157,0.0047654,0.0190042,0.0049692,0.0028925,0.0010047
Sri Lanka,372,0.0005711,0,0,0.0215801,0,0.0003865,0.008239,0.0067242,0.0014465,0.0212384,0.0162479,0.0027618,0,0,0.0020954
Pakistan,400,0,0,0,0,0,0,0.0003187,0.0091701,0.0025807,0.0683994,0.0441337,0.0116284,0.0003329,0,0.0065032
Bangladesh,223,0.0022696,0,0,0,0,0.0034194,0.0129878,0.0138598,0.0091202,0.0287501,0.0241195,0.0086585,0.0001118,0,0.0067167
Asia (East),961,0.0388121,0,0,0,0,0.0371368,0.0246512,0.0071688,0.0029136,0.0246653,0.0150609,0.0025756,0.0009806,0.0334502,0.0234546
Japan,240,0.9558766,0.0078432,0.0176952,0,0,0.0189417,0.0878973,0.0041513,0.0020569,0.0179235,0.0223574,0.0046574,0.0035875,0,0.262079
Philippines,295,0,0,0,0,0,0.0137355,0.0396775,0,0,0,0,0.0023189,0.0010911,0.0009605,0.0022241
